objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587739707405763263,4646,40,3,80,703,6,205.4053707,28.33578014,22.785807,21.488111,21.138351,21.05917,20.86162,0.459425,0.054677,0.058333,0.084107,0.296975
587739707405763264,4646,40,3,80,704,6,205.40713432,28.3342785,24.219095,21.743006,21.328428,21.098028,21.076603,1.061716,0.05906,0.058866,0.073611,0.300861
587739707405763265,4646,40,3,80,705,6,205.40490359,28.33574728,24.690916,22.517382,21.73877,21.371311,20.84333,1.169485,0.119864,0.088519,0.097576,0.25834
587739707405763274,4646,40,3,80,714,6,205.40487556,28.32306186,21.760904,20.539326,20.193102,20.062561,20.089245,0.167802,0.023406,0.023981,0.03068,0.126516
587739707405763275,4646,40,3,80,715,6,205.4054188,28.32205533,21.769686,20.599569,20.170795,20.131689,20.042898,0.187168,0.026597,0.025898,0.03659,0.138267
587739707405763276,4646,40,3,80,716,6,205.40560319,28.32635531,22.149347,20.718567,20.41156,20.320688,20.409317,0.233176,0.026861,0.028079,0.037466,0.166614
587739707405763277,4646,40,3,80,717,6,205.40794742,28.32886498,21.656036,20.895752,20.536436,20.433014,20.439867,0.155106,0.030626,0.031133,0.041632,0.17392
587739707405763281,4646,40,3,80,721,3,205.406609,28.32580994,22.424286,20.96524,20.496399,20.339972,20.0679,0.358287,0.037603,0.035891,0.04745,0.156303
587739707405763282,4646,40,3,80,722,6,205.40619477,28.32235535,23.331976,21.718079,21.126457,21.160582,20.860905,0.608731,0.058353,0.049755,0.075984,0.244635
587739707405763288,4646,40,3,80,728,6,205.40529769,28.32454185,22.828377,22.008745,21.355986,21.238094,21.275671,0.407858,0.071675,0.059298,0.080904,0.348972
587739707405763599,4646,40,3,80,1039,6,205.33801152,28.38397101,20.921574,19.980705,19.669752,19.586714,19.666515,0.086297,0.017071,0.016967,0.022655,0.087427
587739707405763637,4646,40,3,80,1077,6,205.33830176,28.36619295,22.4331,21.360353,20.830919,20.638508,20.434912,0.296039,0.043393,0.039006,0.049479,0.169617
587739707405763644,4646,40,3,80,1084,6,205.33939697,28.37200648,20.461266,19.607027,19.32229,19.270107,19.188627,0.060806,0.013475,0.013721,0.017457,0.058131
587739707405763646,4646,40,3,80,1086,6,205.35022315,28.40969264,21.243856,18.563421,17.302116,16.751589,16.449091,0.109336,7.648247E-3,5.267372E-3,5.212038E-3,8.902251E-3
587739707405763647,4646,40,3,80,1087,6,205.35138445,28.40975045,20.629564,19.7372,19.462143,19.342337,19.483004,0.068838,0.014261,0.015052,0.019048,0.074477
587739707405763649,4646,40,3,80,1089,3,205.34705679,28.40563514,23.975237,22.979187,21.431311,20.29537,19.662603,1.067561,0.187247,0.074499,0.043977,0.103111
587739707405763654,4646,40,3,80,1094,6,205.34827086,28.40519317,25.496487,23.926752,22.354614,21.183573,20.441294,0.808173,0.348597,0.138571,0.077464,0.168669
587739707405763656,4646,40,3,80,1096,6,205.34101499,28.36932432,21.47587,20.355885,20.032919,20.015753,19.907887,0.132547,0.021608,0.02163,0.030531,0.106219
587739707405763658,4646,40,3,80,1098,6,205.3434046,28.38138464,21.446371,20.490534,20.164686,20.007271,20.002962,0.130663,0.023268,0.023813,0.030047,0.117999
